AMRVAC
it   t   dt    d s1 s2 s3 tau b1 b2 b3 lfac xi c1 c2 c3 n1 n2 n3| Xload Xmemory 'Cell_Updates /second/core' 'Active_Blocks/Core' 'Wct Per Code Time [s]' 'TimeToFinish [hrs]'
    230  9.0766E-02  4.0593E-04  5.6250E-01  8.1689E-02 -9.0766E-02  0.0000E+00  1.1750E+00  5.0000E-01  8.3267E-17  0.0000E+00  1.0197E+00  1.6670E+00  7.5000E-01  4.6875E-02  2.0312E-01      24       3      26 |   1.08E+00  1.08E+00  2.00E+05  1.32E+01  3.93E+00  3.37E-04
    240  9.4825E-02  4.0595E-04  5.6250E-01  8.5343E-02 -9.4825E-02  0.0000E+00  1.1750E+00  5.0000E-01  1.6653E-16  0.0000E+00  1.0206E+00  1.6671E+00  7.5000E-01  4.6875E-02  2.0312E-01      24       3      26 |   1.08E+00  1.08E+00  1.98E+05  1.32E+01  3.95E+00  3.35E-04
    250  9.8885E-02  4.0597E-04  5.6250E-01  8.8996E-02 -9.8885E-02  0.0000E+00  1.1750E+00  5.0000E-01  1.8041E-16  0.0000E+00  1.0215E+00  1.6672E+00  7.5000E-01  4.6875E-02  2.0312E-01      24       3      26 |   1.08E+00  1.08E+00  1.98E+05  1.32E+01  3.96E+00  3.31E-04
    260  1.0294E-01  4.0598E-04  5.6250E-01  9.2650E-02 -1.0294E-01  0.0000E+00  1.1750E+00  5.0000E-01  1.3878E-16  0.0000E+00  1.0224E+00  1.6673E+00  7.5000E-01  3.1250E-02  2.1875E-01      24       2      28 |   1.08E+00  1.08E+00  1.99E+05  1.35E+01  4.02E+00  3.32E-04
    270  1.0700E-01  4.0599E-04  5.6250E-01  9.6304E-02 -1.0700E-01  0.0000E+00  1.1750E+00  5.0000E-01  9.7145E-17  0.0000E+00  1.0233E+00  1.6674E+00  7.1875E-01  4.6875E-02  2.3438E-01      23       3      30 |   1.00E+00  1.00E+00  2.01E+05  1.40E+01  4.12E+00  3.35E-04
    280  1.1106E-01  4.0601E-04  5.6250E-01  9.9958E-02 -1.1106E-01  0.0000E+00  1.1750E+00  5.0000E-01  2.3592E-16  0.0000E+00  1.0242E+00  1.6676E+00  7.1875E-01  6.2500E-02  2.1875E-01      23       4      28 |   1.08E+00  1.08E+00  1.96E+05  1.38E+01  4.15E+00  3.33E-04
    290  1.1512E-01  4.0602E-04  5.6250E-01  1.0361E-01 -1.1512E-01  0.0000E+00  1.1750E+00  5.0000E-01  1.9429E-16  0.0000E+00  1.0251E+00  1.6677E+00  7.1875E-01  6.2500E-02  2.1875E-01      23       4      28 |   1.08E+00  1.08E+00  1.90E+05  1.38E+01  4.27E+00  3.38E-04
    300  1.1918E-01  4.0603E-04  5.6250E-01  1.0727E-01 -1.1918E-01  0.0000E+00  1.1750E+00  5.0000E-01  1.6653E-16  0.0000E+00  1.0260E+00  1.6678E+00  7.1875E-01  7.8125E-02  2.0312E-01      23       5      26 |   1.08E+00  1.08E+00  1.87E+05  1.35E+01  4.26E+00  3.32E-04
    310  1.2325E-01  4.0604E-04  5.6250E-01  1.1092E-01 -1.2325E-01  0.0000E+00  1.1750E+00  5.0000E-01  2.4980E-16  0.0000E+00  1.0269E+00  1.6679E+00  6.8750E-01  7.8125E-02  2.3438E-01      22       5      30 |   1.07E+00  1.07E+00  1.98E+05  1.42E+01  4.26E+00  3.28E-04
    320  1.2731E-01  4.0606E-04  5.6250E-01  1.1458E-01 -1.2731E-01  0.0000E+00  1.1750E+00  5.0000E-01  2.0817E-16  0.0000E+00  1.0277E+00  1.6680E+00  6.8750E-01  7.8125E-02  2.3438E-01      22       5      30 |   1.07E+00  1.07E+00  2.00E+05  1.42E+01  4.22E+00  3.20E-04
